predpt_name,Eucerin Packing @ Tesco
vchno,APO2022010062
vchdate,44565
remark,จ่ายเงินสดย่อย คุณบุญชม-ค่าเทปใสและกาวร้อน#PR2021120199
costcode,C100008
DR_amt,445.79
CR_amt,0
predpt_name,Earth Merchandiser Program 1-15 Jan 22
vchno,APO2022010063
vchdate,44565
remark,จ่ายเงินสดย่อย คุณบุญชม-ค่ากล่องไปรษณีย์#PR2021120248
costcode,C100008
DR_amt,112.15
CR_amt,0
predpt_name,Earth Merchandiser Program 1-15 Jan 22
vchno,APO2022010063
vchdate,44565
remark,จ่ายเงินสดย่อย คุณบุญชม-ค่ากล่องไปรษณีย์#PR2021120248
costcode,C100008
DR_amt,616.82
CR_amt,0
predpt_name,Weber Bonus Prize [Dec 2021]
vchno,APO2022010022
vchdate,44567
remark,"เคลียร์เงินทดรองจ่าย คุณธนพงษ์#PR2021120221 *ยอดโอน 1,326 ลว.7.1.2022"
costcode,C100008
DR_amt,424.3
CR_amt,0
predpt_name,Weber Bonus Prize [Dec 2021]
vchno,APO2022010022
vchdate,44567
remark,"เคลียร์เงินทดรองจ่าย คุณธนพงษ์#PR2021120221 *ยอดโอน 1,326 ลว.7.1.2022"
costcode,C100008
DR_amt,200.93
CR_amt,0
predpt_name,"Cockpit FC-Activity Support at Phitsanulok, Sukhothai, Songkla (Dec 21)"
vchno,APS2022010004
vchdate,44571
remark,ค่าผลิตสปอตโฆษณา ส่งมอบงานวันที่ 22/12/2564 #JV2021120033
costcode,C100008
DR_amt,1000
CR_amt,0
predpt_name,"Cockpit FC-Activity Support at Phitsanulok, Sukhothai, Songkla (Dec 21)"
vchno,JV2022010004
vchdate,44571
remark,กลับรายการต้นทุนประมาณการโครงการ เดือน ธ.ค.64  # 
costcode,C100008
DR_amt,0
CR_amt,1000
predpt_name,Foremost Booth at 7-11 New Year Party
vchno,APS2022010011
vchdate,44578
remark,ค่าผลิตเค้าเตอร์ชงชิม ส่งมอบงานวันที่ 28/12/64 #JV2021120033
costcode,C100008
DR_amt,4200
CR_amt,0
predpt_name,Foremost Booth at 7-11 New Year Party
vchno,APS2022010011
vchdate,44578
remark,ค่าผลิตเค้าเตอร์ชงชิม ส่งมอบงานวันที่ 28/12/64 #JV2021120033
costcode,C100008
DR_amt,490
CR_amt,0
predpt_name,Foremost Booth at 7-11 New Year Party
vchno,APS2022010012
vchdate,44578
remark,ค่าปรู๊ฟสีบูธชงชิม ส่งมอบงานวันที่ 28/12/2564 #JV2021120033
costcode,C100008
DR_amt,200
CR_amt,0
predpt_name,Foremost Booth at 7-11 New Year Party
vchno,JV2022010008
vchdate,44578
remark,กลับรายการต้นทุนประมาณการโครงการ เดือน ธ.ค.64  # 
costcode,C100008
DR_amt,0
CR_amt,4690
predpt_name,Foremost Booth at 7-11 New Year Party
vchno,JV2022010008
vchdate,44578
remark,กลับรายการต้นทุนประมาณการโครงการ เดือน ธ.ค.64  # 
costcode,C100008
DR_amt,0
CR_amt,200
predpt_name,Eucerin_Webinar training teams
vchno,APO2022010114
vchdate,44579
remark,จ่ายเงินสดย่อย ค่ากล่องไปรษณีย์#PR2022010011
costcode,C100008
DR_amt,214.95
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,3677
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,518.69
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,45.79
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,172.9
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,39.35
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,83.18
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,23.36
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,93.46
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,23.36
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,152.34
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
